timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763974031572,8553,User Login,200,OK,100 Concurrent Users 1-14,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,8553,0,1
1763974031968,8364,User Login,200,OK,100 Concurrent Users 1-18,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,8364,0,1
1763974041132,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-14,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974041336,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-18,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974032067,11154,User Login,200,OK,100 Concurrent Users 1-19,text,true,,1385,288,100,100,http://localhost:3002/api/auth/login,11154,0,1
1763974032168,11162,User Login,200,OK,100 Concurrent Users 1-20,text,true,,1387,288,100,100,http://localhost:3002/api/auth/login,11162,0,0
1763974032472,10969,User Login,200,OK,100 Concurrent Users 1-23,text,true,,1393,288,100,100,http://localhost:3002/api/auth/login,10969,0,1
1763974044228,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-19,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974044334,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-20,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974044442,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-23,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974032363,12815,User Login,200,OK,100 Concurrent Users 1-22,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,12815,0,1
1763974032669,13355,User Login,200,OK,100 Concurrent Users 1-25,text,true,,1389,288,100,100,http://localhost:3002/api/auth/login,13355,0,0
1763974046193,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-22,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
1763974047034,0,Search Properties,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in query at index 61: http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,100 Concurrent Users 1-25,text,false,,1208,0,100,100,http://localhost:3002/api/properties?page=1&limit=10&city=San Francisco,0,0,0
